#	Fracture
2HPP	2 Hour PostPrandial
RCD	Recovery Center of Delaware
RCH	Rockville City Hospital
RCH	Riverside Community Hospital
RCH	Raleigh Community Hospital
RCH	Rural Community Hospital
RCH	Rochelle Community Hospital
RCH	Redlands Community Hospital
RCHT	Royal Cornwall Hospitals Trust
RCHT	Royal Cornwall Hospital Trust
RCHT	Royal Cornwall Hospital Truro
RCI	Rotator Cuff Injury
RCIH	Royal Care International Hospital
RCoA	Royal College of Anaesthetists
RCOP	Radiation Center of Osaka Prefecture
RCPC	Rockland Childrens Psychiatric Center
RCS	Respiratory Care Services
RCT	Relative Contrast Test
RCT	Randomized Controlled Trial
RCT	Root Canal Treatment
RD	Resistant Disease
RD	Registered Dietitian
RDAC	Rapid Diagnostic and Assessment Centre
RDB	Re- Discovering Birth
RDD	Respiratory Drug Delivery
RDE	Rectal Digital Examination
RDH	Royal Darwin Hospital
RDI	Respiratory Disturbance Index
RDM	Re-AdMission
RDRP	Reproductive Disease Research Program
RDT	Rapid Diagnostic Tests
RE	Reproductive Endocrinology
REACH	Reaching Euglycemia And Comprehensive Health
REACH	Relational Evangelism And Cultivational Hospitality
REACH	Revenue Enhancements and Customer Hospitality
REBA	Rapid Entire Body Assessment
REBT	Rational Emotive Behavioral Therapy
REHI	Royal Edinburgh Hospital for Incurables
ReSCU	Respiratory Special Care Unit
RESP	Response
RFA	Radio Frequency Ablation
RFA	Radiofrequency ablation
RFB	Reflection Fluid By
RFBD	Recording for the Blind and Dyslexic
RFC	Residual Functional Capacity
RFH	Royal Free Hospital
RFID	Radio Frequency IDentification
RFPHM	Recognition in Focused Practice in Hospital Medicine
RFT	Renal Function Test
RGGGH	Rajiv Gandhi Government General Hospital
RGH	Rochester General Hospital
RGH	Rawalpindi General Hospital
RGH	Rockville General Hospital
RGH	Roosevelt General Hospital
RGH	Rappahannock General Hospital
RGH	Robloxian General Hospital
RGH	Raleigh General Hospital
RHA	Residential Habilitation Aide
RHC	Rural Health Clinic
RHC	Rural Health Center
RHC	Responsible Hospitality Council
RHCH	Royal Hampshire County Hospital
RHEC	Regional Health Education Center
RHH	Royal Hobart Hospital
RHI	Rehabilitation Hospitals of Indiana
RHI	Rehabilitation Hospital of Indiana
RHIS	Regional Hospital Information System
RHIT	Registered Health Information Technician
RHK	Royal Hospital Kilmainham
RHNO	Rehabilitation Hospital of Northwest Ohio
RHP	Ryman Hospitality Properties
RHP	Ryman Hospitality
RHQDAPU	Reporting Hosptial Quality Data for Annual Payment Update
RHS	Residential and Hospitality Services
RHS	Residential and Hospitality
RHSC	Royal Hospital for Sick Children,
RHSC	Rehab Hospital Services Corporation
RHSC	Royal Hospital for Sick Children
RHU	Rehabilitation Hospital Ulm
RHUH	Rafik Hariri University Hospital
RHW	Royal Hospital for Women
RIB	Rest In Bed
RICE	Rest, Ice, Compression, Elevation
RICER	Rest, Ice, Compression, Elevation, Referral
RICH	Resources, Intimacy, Competence, and Health
RICU	Respiratory Intensive Care Unit
RIG	Radiologically Inserted Gastrostomy
RIH	Rhode Island Hospital
RIND	Reversible ischaemic neurologic deficit
RIOPMH	Regional Institute for Out-Patient Mental Health Care
RIP	Resuscitation In Progress
RIP	Roast In Peace
RIPE	Rest,Ice,Painkillers,Elevation
RIPO	Register of Orthopedic Prosthetic Implantology
RISE	Response Inducing Sustainability Evaluation
RITA	Research Initiative / Treatment Action
RK	Radial Keratotomy
RL	Residents' Lounge
RLE	Refractive Lens Exchange
RLF	Retrolental fibroplasia
RLHH	Royal London Homeopathic Hospital
RLHH	Royal London Homoeopathic Hospital
RLHIM	Royal London Hospital for Integrated Medicine
RLUH	Royal Liverpool University Hospital
RLUH	Royal Liverpool Hospital
RLX	Raloxifene
RMC	Reception Medical Center
RMH	Ross Memorial Hospital, Lindsay, Ontario
RMH	Rockingam Memorial Hospital
RMH	Roxborough Memorial Hospital
RMH	Ruby Memorial Hospital
RMH	Rockingham Memorial Hospital
RMH	Ross Memorial Hospital
RMH	Rockford Memorial Hospital
RMH	Ransom Memorial Hospital
RMH	Rush Memorial Hospital
RMH	Rochester Methodist Hospital
RMH	Royal Marsden Hospital
RMHC	Rocky Mountain Hospital for Children
RMI	Rehman Medical Institute
RMO	Resident Medical Officer
RMP	Registered Medical Practitioner
RMS	Royal Medical Society
RMS	Records Management System(s)
RMT	Rehab Management Toolkit
RMVC	Rocky Mountain Veterinary Cardiology
RNA	Registered Nurse Associate
RNAC	Registered Nurse Assessment Coordinator
RNDS	Rounds
RNDX	Nursing Diagnosis
RNH	Royal Naval Hospital
RNI	Recommended Nutrient Intake
RNNS	Royal Naval Nursing Service
RNOH	Royal National Orthopaedic Hospital
RNSH	Royal North Shore Hospital
RNU	Radiology- Nuclear Medicine
RO	Regional Office
RO	Regular Observation
ROC	Receiver operating characteristic
ROH	Royal Orthopaedic Hospital
ROHA	Registro Oncopediátrico Hospitalario Argentino
ROI	Release Of Information
ROIF	Release Of Information Form
ROM	Rupture of membranes
RON	Remain Over Night
ROP	Retinopathy of prematurity
ROS	Rule Out Sepsis
ROUO	Record Of Unknown Origin
RPAH	Royal Prince Alfred Hospital
RPE	Respiratory Protective Equipment
RPH	Robert Packer Hospital
RPH	River Parishes Hospital
RPH	Royal Perth Hospital
RPI	Region of Probable Injury
RPMS	Remote Patient Monitoring System
RPN	Registered practical nurse
RPP	Rate Pressure Product
RPPC	Regional Perinatal Programs of California
RPPS	Repatriation Private Patient Scheme
RPR	Rapid Plasma Reagin test
RPT	Relapse Prevention Therapy
RRC	Rest and Recuperation Center
RRC	Residency Review Committee
RRH	Ridgecrest Regional Hospital
RRH	Rochester Regional Hospital
RRT	Renal Replacement Therapy
RRV	Rapid Response Vehicle
RS	Refractive Surgery
RS	Reimbursement Specialist
RS	Reye's syndrome
RSCH	Royal Surrey County Hospital
RSCH	Royal Sussex County Hospital
RSD	Royal Southwell Dispensary
RSD	Reflex sympathetic dystrophy
RSI	Repeated Strain Injury
RSNC	Robert Schad Naturopathic Clinic
RSO	Rapid Scan Operation
RSP	Root Scaling and Planing
RSW	Registered Social Worker
RSW	Right sided weakness
RT	Radiologic Technologist
RT	Recurrent tonsillitis
RT-DMS	Real-Time Diabetes Monitoring System
RTA	Road Traffic Accident
RTAC	Regional Trauma Advisory Council
RTAH	Reaction - Transplant Against Host
RTC	Residential Treatment Center
RTECS	Registry of Toxic Effects of cChemical Substances
RTFA	Residential Treatment Facility for Adults
RTH	Riverside Tappahannock Hospital
RTI	Respiratory tract infection
RTII	Response To Instruction and Intervention
RTN	Return
RTO	Right Toe Off
RTOR	Real Time Operating Room
RTPS	Radiation Treatment Planning System
RTPS	Remote Treatment Planning System
RTPS	Radiotherapy Treatment Planning System
RTPT	Radiotherapy Treatment Planning Tool
RUH	Royal University Hospital
RUH	Royal United Hospital
RUH	Royal United Hospitals
RULA	Rapid Upper Limb Assessment
RUM	Return of Unwanted Medicines
RUM	Regular Use Medicine
RUS	Recipient Update Service
RUS	Renal UltraSound
RV	Rancid Vomit
RV1	Rotavirus Vaccine, Monovalent
RV5	Rotavirus Vaccine, Pentavalent
RVCT	Report of a Verified Case of Tuberculosis
RVEEH	Royal Victoria Eye and Ear Hospital
RVEEH	Royal Victorian Eye and Ear Hospital
RVF	Right Ventricular Failure
RVH	Royal Victoria Hospital
RWHT	Royal Wolverhampton Hospitals Trust
RWJUH	Robert Wood Johnson University Hospital
RWM	Russell-Womersley-McDonald
RX	Prescription
RxD	Receive Drugs, Pharmacy Directive for Prescription Drugs
RXH	Red Cross Hospital
S	Stable
S	Sedate
S&S	Signs & symptoms
S/P	Status Post
S/P	Staus Post
S/S	Signs and Symptoms
SAB	Surfactant Allantoin and Benzalkonium
SABI	Survivor of Acquired Brain Injury
SaBTO	Safety of Blood, Tissues and Organs
SACEP	State AIDS clinical expert panel
SACH	San Antonio Community Hospital
SACH	Shamokin Area Community Hospital
SAD	Seasonal Affective Disorder
SADR	Standard Ambulatory Data Record
SADS	Sudden Antenatal Death Syndrome
SAFE	Safety Assessment For Emergencies
SAFE	Self Abuse Finally Ends
SAH	St Annes Hospital
SAH	Sault Area Hospital
SAID	Specific Adaptation to Imposed Demands
SAIH	Shree Aggarsain International Hospital
SAKS	South African Knee Society
SAM	Simulated Anesthesia Mannequin
SAM	Skin Analyzer Magnifier
SAMH	St Andrew's Mission Hospital
SAMMC	San Antonio Military Medical Center
SANE	Sexual Assault Nurse Examiner
SAP	Systolic Arterial Pressure
SAP	Single Assessment Process
SAP	Stable Angina Pectoris
SAPB	Std Aids Prevention Branch
SAPS	simplified Acute Physiology Score
SAR	Systemic Affect Rating
SARDS	Sudden Acquired Retinal Degeneration Syndrome
SARP	Substance Abuse Rehabilitation Program
SARS	Severe Acute Respiratory Syndrome
SARS	Sacral Anterior Root Stimulator
SART	Sexual Assault Response Team
SAS	Short Arm Splint
SASH	Saline Antibiotic, Saline Heparin
SASH	Saline - Administration of medicine - Saline - Heparin
SASH	Small Animal Specialist Hospital
SASH	Surrey and Sussex Healthcare
SASS	Skagafjordur Archaeological Settlement Survey
SASU	Surgical Assessment and Short stay Unit
SATH	Shrewsbury And Telford Hospital
SATH	Small Animal Teaching Hospital
SATP	Substance Abuse Treatment Program
SATS	Standardized Ambulatory Teaching Situation
SB	StillBirth
SB	Spina bifida
SBAR	Situation, Background, Assessment, and Recommendation
SBCU	Special Baby Care Unit
SBD	Sleep-related Breathing Disorder
SBE	Subacute Bacterial Endocarditis
SBF	Simulated Body Fluid
SBH	Southeast Baptist Hospital
SBHD	South Broward Hospital District
SBMD	Sensory-based motor disorder
SBP	Spontaneous Bacterial Peritonitis
SBT	Spontaneous Breathing Trial
SC	Sydenham's chorea
SCA	Sudden Cardiac Arrest
SCAH	St Charles Animal Hospital
SCAMP	Southern California Asthma Medical Program
SCBA	Self-Contained Breathing Apparatus
SCBU	Special Care Baby Unit
SCCHS	Specialist Community Child Health Services
SCCP	Single Coordinated Care Plan
SCD	Sequential Compression Device
SCD	Slow Continuous Dialysis
SCEH	Sagarmatha Choudhary Eye Hospital
SCGH	Sir Charles Gairdner Hospital
SCH	Southside Community Hospital
SCH	Southern California Hospital
SCH	Sole Community Hospital
SCHA	South Carolina Hospital Association
SCHC	South Calgary Health Centre
SCHN	Sydney Children's Hospitals Network
SCIC	Significant Change in Condition
SCID	Structured Clinical Interview for DSM
SCIP	Surgical Care Improvement Project
SCIU	Spinal Cord Injury Unit
SCMH	Starr County Memorial Hospital
SCMH	Sullivan County Memorial Hospital
SCMH	Smith County Memorial Hospital
SCOM	Surgery Center Of Michigan
SCOTI	Sonomatic Confirmation Of Tracheal Intubation
SCPH	Sunshine Coast Private Hospital
SCRC	Systems Changes for Real Choices
SCRH	Saint Catherine Regional Hospital
SCRIPT	Systematic Cost Review In Pharmaco Therapy
SCS	Spinal Cord Stimulation
SCTU	Specialty Care Transport Unit
SCVU	Sonterra Cardio-Vascular Institute
SD	Sterile Dressing
SD	Saint Vitus's dance
SDA	Same Day Appointment
SDCH	South Davis Community Hospital
SDCH	San Dimas Community Hospital
SDCH	Seema Dental College Hospital
SDD	Sensory discrimination disorder
SDD	Specific developmental disorders
SDFO	San Diego Field Ornithologists
SDGH	St David's Georgetown Hospital
SDMH	Shoalhaven District Memorial Hospital
SDMH	Seymour District Memorial Hospital
SDMH	Sandringham District Memorial Hospital
SDMH	Santokba Durlabhji Memorial Hospital
SDMH	Santokba Durlabji Memorial Hospital
SDMH	Sandringham and District Memorial Hospital
SDNMC	San Diego Naval Medical Center
SDP	Stop Doing Pathology
SDP	Special Duty Pay
SDR	Selective Dorsal Rhizotomy
SDS	Same Day Surgical
SDU	Step-Down Unit
SDVAMC	San Diego Veterans Administration Medical Center
SE	Stress Echocardiography
SEBR	Florida Hospital in SEBRing
SEGS	Society To Expose Government Secrets
SEHOS	Saint Elisabeth Hospital
SEHSC	Susquehanna Emergency Health Services Council
SEN	State enrolled nurses
SENCO	Special Educational Needs Coordinator
SEND	Special Educational Needs and Disabilities
SEP	Self-Evaluation Process
SERNA	South East Regional Neurological Alliance
SES	Sanitarium Epidemic Station
SEX	Sam's Easy X-Ray
SF	Serious Fall
SF	Swine Flu
SFGH	San Francisco General Hospital
SFH	St. Francis Hospital
SFH	Saint Francis Hospital
SFH	Security Forces Hospital
SFHS	Saint Francis Health System
SFSH	Sioux Falls Specialty Hospital
SFSH	South Florida State Hospital
SG	Swan-Ganz
SGAH	St George Animal Hospital
SGAH	Shady Grove Adventist Hospital
SGAH	Spring Green Animal Hospital
SGC	Swan-Ganz Catheter
SGH	Sinai-Grace Hospital
SGH	Secretariat General of Health
SGH	Singapore General Hospital
SGH	Seattle Grace Hospital
SGH	Sydney Grand Hospitality
SGH	Sarawak General Hospital
SGPT	Serum Glutamate Pyruvate Transaminase
SGQH	Sindh Govt Qatar Hospital
SGQH	Sindh Government Qatar Hospital
SHAPE	Screening for Heart Attack Prevention and Education
SHC	Student Hospital Connections
SHCH	Sacred Heart Children's Hospital
SHCH	Sihanouk Hospital Center Of Hope
SHD	Snohomish Health District
SHE	Safety, Health, and Environment
SHH	Sacred Heart Hospital
SHHG	Stiftung Hospital zum Heiligen Geist
SHHR	Sunway Healthy Hospital Register
SHI	Statutory Health Insurance
SHM	Society for Hospital Medicine
SHMI	Summary Hospital-level Mortality Indicator
SHN	Scarborough Health Network
SHO	Senior House Officer
SHOT	Severe Hazards Of Transfusion
SHR	Sceptre Hospitality Resources
SHRC	Shanthi Hospital and Research Centre
SHSN	Sibley Hospital School of Nursing
SHTN	Scottish Hospital Technical Note
SHW	Specialty Hospital of Washington
SI	Self Insertion
SI	SacroIliac
SI	Saline Injection
SIC	Self-Intermittent Catheterization
SICU	Surgical Intensive Care Unit
SIF	Saccadic initiation failure
SIH	Southern Illinois Healthcare
SINAP	Stroke Improvement National Audit Programme
SIOS	Sydney Institute for Obesity Surgery
SIQ	Suicidal Ideation Questionnaire
SIRS	Systemic inflammatory response syndrome
SIVH	South Infirmary Victoria Hospital
SIVP	Slow Intravaneous Push
SJA	St. John Ambulance, London, Ontario, Canada
SJCH	St. Jude Children's Hospital
SJH	St. John Hospital
SJH	South Jersey Health System
SJH	Saint Joseph's Hospital
SJH	St Joseph's Hospital
SJM	St. Jude Medical Center
SJM	St. Joseph Memorial Hospital
SJMC	St. Jude Medical Center
SJMH	Saint Joseph Mercy Hospital
SJMH	Stonewall Jackson Memorial Hospital
SJMH	San Jacinto Methodist Hospital
SJMH	St James Mercy Hospital
SJP	St. Joseph of the Pines Health System
SJP	St. John & Partners
SJUH	St James's University Hospital
SJW	St. Josephs Wayne Hospital
SLAP	Superior, Labrum, Anterior, and Posterior
SLBH	St Luke's Baptist Hospital
SLD	Safety and Laboratory Data
SLED	Sustained Low-Efficiency Dialysis
SLF	Single Live Fetus
SLH	St Luke's Hospital
SLMC	St Luke's Medical Center
SLNB	Sentinel lymph node biopsy
SLOI	St. Louis Orthopedic Institute
SLRHC	St Luke's Roosevelt Hospital Center
SMA	Student medical assistant
SMA	Spinal muscular atrophy
SMAH	San Mateo Animal Hospital
SMART	Sharing Medical Adherence Responsibilities Together
SMART	Specific, Measurable, Achievable, Relevant and Timed
SMARTS	Safety Manuals, Application, Readings, Talk, and Symptoms
SMBG	Self Monitor Blood Glucose
SMCH	Silchar Medical College and Hospital
SMCH	Specialized Medical Center Hospital
SMCH	Stewart Memorial Community Hospital
SMD	Sensory modulation disorder
SMDH	Salem Memorial District Hospital
SMEH	Sts Mary Elizabeth Hospital
SMEI	Severe myoclonic epilepsy of infancy
SMGH	Strathroy Middlesex General Hospital
SMGH	St. Mary’s General Hospital
SMGH	St. Mary's General Hospital
SMH	Sarasota Memorial Hospital
SMH	St. Margaret's Hospice
SMH	Strong Memorial Hospital
SMH	Slidell Memorial Hospital
SMHC	St Martin's Hospitality Center
SMHC	St Mary's Hospital Center
SMHR	Stoke Mandeville Hospital Radio
SMHS	Shri Maharaja Hari Sing
SMI	St. Micheal Ipoh
SMO	Supervising Medical Officer
SMOH	St. Marys Orthopaedic Hospital
SMR	Standardized Mortality Ratio
SMR	Senior Medical Resident
SMRH	St Mary Rehabilitation Hospital
SMS	Smith–Magenis syndrome
SMS	Stiff man syndrome
SMSC	St. Madeleine Sophie's Center
SMSC	Stephenville Medical and Surgical Clinic
SMSH	South Mississippi State Hospital
SMSH	South MS State Hospital
SMV	SubMentoVertex
SNF	Skilled Nursing Facility
SNMP	Simpson Memorial Maternity Pavilion, Edinburgh
SNS	Supplemental Nursing System
SNV	Sin Nombre virus
SO	Some Of ....
SO	Senior Opinion
SOAMA	Signed-Out Against Medical Advice
SOAP	Subjective Objective Assesment Plan
SOAP	Shipley Ophthalmic Assessment Programme
SOAPE	Subjective, Objective, Assessment, Plan, Evaluation
SOB	Shortness Of Breath
SOC	Standards Of Care
SOC	standard(s) of care
SOC	Schedule Of Charges
SOCH	Southern Ocean County Hospital
SOCRATES	Stages Of Change, Readiness, And Treatment Eagerness Scale
SOCRATES	Site, Onset, Character, Radiation, Associated symptoms, Time, Eleviating factors, Severity
SOD	Septo-optic dysplasia
SODIS	Solar Water Disinfection System
SOEC	Standards of Ethical Conduct
SOHM	Section on Hospital Medicine
SOMC	Southern Ohio Medical Center
SOMI	Sternal Occipital Mandibular Immobilizer
SOP	Scope Of Practice
SOP	Standards Of Practice
SOP	School Of Pharmacy
SOPD	Surgical Out-Patient Department
SOPD	Surgery Out-Patient Department
SORNU	Surgically ordered not used
SORT	Stabilization, Observation, Referral, and Treatment
SOS	Save Our Subluxation
SOS	Sub-Occipital Soother
SOS	Stent Or Surgery
SOS	Surgery On Site
SP	Soiled Panties
SP	Stereotactic Pallidotomy
SPA	Super Powerful Amphetamine
SPA	Scottish Prescribing Analysis
SPAH	Sienna Plantation Animal Hospital
SPAH	Sentara Princess Anne Hospital
SPATS	Sitka Prevention And Treatment Services
SPC	Standard Program Category
SPCG	Scandinavian Prostate Cancer Group
SPCH	Spruce Pine Community Hospital
SPCL	Service Provider Code List
SPD	Sterile Processing Department
SPD	Sensory processing disorder
SPDE	Service Provider Delivery Environment
SPDT	Surgical Pathology Diagnostic Testing
SPECT	Single-Photon Emission Computed Tomography
SPECT	Single photon emission tomography
SPECT	Single Photon Emission Computed Tomography
SPEHA	Southern Pacific Employees Hospital Association
SPEP	Serum Protein ElectroPhoresis
SPG	Security Policy Group
SPI	Scottsdale Prevention Institute
SPICE	Statewide Program for Infection Control and Epidemiology
SPM	Special Purpose Monitor
SPMP	Skilled Professional Medical Personnel
SPR	The Society for Pediatric Radiology
SPROM	Spontaneous preterm rupture of the membranes
SPS	Stiff person syndrome
SQUH	Sultan Qaboos University Hospital
SR	Senior Registrar
SR	Senior Resident
SR	Side Rail
SR	Stress Relaxation
SR	Systemic Review
SRH	Santa Rosa Hospital
SRI	Sunnybrook Research Institute
SRMS	Solidified Reversed Micellar Solution
SRRSH	Sir Run Run Shaw Hospital
SSA	Shared Services Agency
SSE	Sterile Speculum Exam
SSHF	Social Security Hospital Faisalabad, Pakistan
SSI	Sliding Scale Insulin
SSID	Service de Soins Infirmiers Domicile (French: Department of Nursing Homes)
SSM	Senior Support Manager
SSMH	Samuel Simmonds Memorial Hospital
SSMH	Soldiers Sailors Memorial Hospital
SSP	Surgical Safety Product
SSP	Sub-regional Strategic Partnership
SSPE	Subacute sclerosing panencephalitis
SSPH	South Sacramento Pet Hospital
SSPHA	Southern States Psychiatric Hospital Association
SSPHO	South Shore Physician Hospital Organization
SSR	Service Strategy and Regulation
SSRI	Specific Serotonin Reuptake Inhibitor
SSRIs	Selective serotonin reuptake inhibitors
SSRWI	Safe – Skilled – Ready Workforce Initiative
SST	Simple Shoulder Test
SSVO	Spine shortening via vertebral osteotomy
ST	ScleroTherapy
ST	STatus
STAH	Susquehanna Trail Animal Hospital
STAR	Supplemental Transport Ambulance Resource
STAR	Support, Therapeutic Activities, and Respite
STARS	Special Tatics And Rescue Service
START	Short Term Assurance And Recuperation Team
START	Simple Triage And Rapid Treatment
STAT	Stabilization, Treatment, And Transport
STAT	Immediately, At Once
STC	Short Term Care
STC	Specialty Training Committee
STCH	Sutter Tracy Community Hospital
STD	Sexually Transmitted Disease
STE	St. Elizabeth Hospital
StEW	St. Elizabeths Hospital, Washington
STG	Short Term Goal
STH	Sheffield Teaching Hospitals
STH	Sheffield Teaching Hospital
STI	Sexually Transmitted Incident
STI	Sexually Transmitted Infection
STI	Structured Treatment Interruption
STJ	St. John's Regional Medical Center
STKM	Staedtisches Klinikum Muenchen, GmbH
STMEX	Stock time expired
STMH	Southwest Texas Methodist Hospital
StN	Student Nurse
STN	Surgical Tool Navigator
STNA	State Tested Nursing Assistant
STP	Stop The Pain
STP	Short-Term Program
STP	Special Treatment Program
STPH	St Tammany Parish Hospital
STR	Special Tube Request
STR	Service Treatment Record
STSG	Split-thickness skin graft
STV	St. Vincent's Hospital
SU	Stroke Unit
SUDIC	Sudden Unexpected Death in Infancy or Childhood
SUIDIRF	Sudden Unexplained Infant Death Investigation Report Form
SUNCT	Short-lasting unilateral neuralgiform headache with conjunctival injection and tearing
SVA	Safeguarding Vulnerable Adults
SVA	Selective Visceral Angiography
SVCH	St Vincent Charity Hospital
SVH	Sonoma Valley Hospital
SVH	St. Vincent Healthcare
SVH	Simi Valley Hospital
SVH	Saint Vincent Hospital
SVH	Skagit Valley Hospital
SVHCD	Sonoma Valley Health Care District
SVUH	St Vincent's University Hospital
SWAH	South West Acute Hospital
SWAMP	Simply Wonderful Apparatus for Measuring Pulses
SWAT	Sit, Wait, And Talk
SWAT	Special Well Armed Team
SWAT	Specialized Workforce for Acute Transport
SWH	Speaking of Women's Health
SWI	Surgical Wound Infection
SWL	Shock Wave Lithotripsy
SWMH	Scott White Memorial Hospital
SWMH	Scott & White Memorial Hospital (Temple, TX )
SWOT	Sydney Welcome Orientation and Transition
SWT	Spide With Tache
SX	Surgery
SX	Suction
SXS	Step By Step
SZH	Shaikh Zayed Hospital
SZMC	Shaare Zedek Medical Center
T	Tuberculosis
T&CM	Type And CrossMatch
T.T.	Tetanus Toxoid
TADC	Trauma and Anxiety Disorders Clinic
TAH	Transfusion-Associated Hepatitis
TAHBSO	Total Abdominal Hysterectomy with Bilateral Salpingo Oophorectomy
TAMC	Tripler Army Medical Center
TAN	Transition Aftercare Network
TARG	Toronto Area Research Group
TASH	Teaching About Sexuality and HIV
TASMC	Tel Aviv Sourasky Medical Center
TAT	Therapeutic Area Team
TAVR	Transcatheter Aortic Valve Replacement
TB	Tuberculosis
TBDA	Time Between Diagnosis and Admission
TBH	The Brooklyn Hospital Center
TBH	Thunder Bay Regional Hospital
TBH	The Brooklyn Hospital
TBHF	The Brooklyn Hospital Foundation
TBI	Texas Back Institute
TBI	Traumatic Brain Injury
TBNA	Transbronchial needle aspiration
TBPS	Thawed Blood Processing System
TBQ	2,5-di(Tert-Butyl)-1,4-BenzohydroQuinone
TBRH	Thunder Bay Regional Hospital
TC	Therapeutic Community
TC	Telephone Counselling
TC	Tertiary Care
TCA	Tricyclic Anti-Depressant
TCCC	Tactical combat casualty care
TCDB	Traumatic Coma Data Bank
TCH	The Children's Hospital
TCH	Tahlequah City Hospital
TCH	Tyrone County Hospital
TCH	Texas Children's Hospital
TCH	Transitional Care Hospital
TCHIP	Talyst Certified Hospital InSite Pharmacy
TCI	Transient Cerebral Ischemia
TCI	Therapeutic Crisis Intervention
TCI	to come in (for appt.)
TCMS	Tulare County Medical Services
TCP	Trivalent Chromium Pretreatment
TCS	Tethered cord syndrome
TCU	Transitional Care Unit
TD	Toxic Dose
TDMH	Tillsonburg District Memorial Hospital
TDMS	Toxicology Data Management System
TDS	Three Times Daily
TDS	Ter Die Sumendus (three times a day)
TEACH	Teach, Empower, and Advocate for Community Health
TEACH	Treatment Education Activists Combatting HIV
TEACH	Together Educating All Children in Hospitals
TEAM	Treatment and Education for Arthritis Management
TEC	Transluminal Endarterectomy Catheter
TEDS	Thromboembolism Deterrent Stockings
TEG	ThrombElastoGraph Hemostasis System
TEMIS	Trauma and Emergency Medicine Information System
TENS	Transcutaneous Electrical Nerve Stimulation
TEP	Trainee Educational Psychologist
TGH	Tampa General Hospital
THA	Texas Hospital Association
THA	Tennessee Hospital Association
THA	Total hip arthroplasty
THH	The Hillingdon Hospital
THI	Texas Heart Institute
THIE	Texas Hospital Insurance Exchange
THMH	Tyler Holmes Memorial Hospital
THMM	Tourism Hospitality Marketing Management
THORT	Torbay Hospital Outreach Respiratory Team
THQA	Texas Health Quality Alliance
THR	Tourism and Hospitality Research
THRF	The Hospital Research Foundation
THUS	Timely Hospital Utilization Study
Ti	Inversion Time
TIA	Transient Ischemic Attack
TIAI	There Is Always Inflammation
TICU	Trauma Intensive Care Unit
TICU	Transplant Intensive Care Unit
TIL	Tumour infiltrating lymphocytes
TIMEX	Time expiry
TIMS	Thermal Ion Mass Spectrometer
TIP	Trauma Intervention Program
TIPS	Transjugular Intrahepatic Porto-Systemic shunt
TIPS	Transhepatic Intrahepatic Portosystemic Shunt
TIPS	Transjugular intrahepatic portosystemic shunt
TISS	Therapeutic Intervention Scoring System
TJSCH	T. J. Samson Community Hospital
TKA	Total knee arthroplasty
TKVO	To Keep Vein Open
TL	Thiamine Lethal
TLAH	The London Animal Hospital
TLC	Tender Loving Care
TLC	Theraputic Living Center
TLD	Tended Loving Doctor
TLIF	Transforminal Lumbar Interbody Fusion
TLL	The Life Link
TM	Transendental Meditation
TMA	Texas Medical Association
TMA	Transfer Medical Assistance
TMA	Trans-Metatarsal Amputation
TMAC	Tricare Maximum Allowable Charge
TMAP	Texas Medication Algorithm Project
TMC	Total Midwifery Care
TMC	Troop Medical Clinic
TMD	Temporomandibular joint dysfunction
TMDL	Total Maximum Daily Load
TMFH	Trinity Mother Frances Hospital
TMH	Trenton Memorial Hospital
TMH	Tallahassee Memorial HealthCare
TMH	The Memorial Hospital
TMH	The Methodist Hospital
TMH	Tallahassee Memorial Hospital
TMH	Tata Memorial Hospital
TMH	Tata Main Hospital
TMHC	Tallahassee Memorial HealthCare
TMJ	Temporo-Mandibular Joint
TMJD	Temporomandibular joint dysfunction
TMMC	Torrance Memorial Medical Center
TMO	Treating Medical Officer
TMP	Trauma Medicine Program
TMR	TransMyocardial Revascularization
TMRMC	Tallahassee Memorial Regional Medical Center
TMUH	Taipei Medical University Hospital
TNA	Tonsillectomy aNd Adenoidectomy
TNA	Transthoracic Needle Aspiration
TNCC	Trauma Nurse Core Course
TNT	The Nurturing Team
TOAST	The Obesity Awareness And Solutions Trust
TOD	Time Of Death
TODD	Time Of Death Determined
TOE	TransOesophageal Echocardiogram
TOH	The Ottawa Hospital
TOL	Trial Of Labor
TOMM	Test Of Memory Malingering
TOP	Termination of pregnancy
TORB	Telephone Order Read Back
TOSH	The Orthopedic Specialty Hospital
TOT	Temperature Oxygen Time
TOUCH	Telehealth Outreach for Unified Community Health
TP	Trusted Pharmacist
TP	Treatment Plan
TPA	Therapeutic Pharmaceutical Agent
TPAPN	Texas Peer Assistance Program for Nurses
TPCC	Trent Palliative Care Centre
TPCH	The Prince Charles Hospital
TPGL	Training Project Grant List
TPMH	The Princess Margaret Hospital
TPO	Treatment, Payment, Operation
TPO	Treatment Payment Options
TPO	Treatment, Payment, and Operations
TPR	Temperature, Pulse, & Respiration
TPSP	Third Party Service Provider
TPWG	Transfer Procedures Working Group
TRAH	Taunton Road Animal Hospital
TRBH	Triple R Behavioral Health
TRCFR	Total Recordable Case Frequency Rate
TREES	Therapeutic Remedial Energy Enhancement Services
TRGH	The Robloxian General Hospital.
TRH	Tomball Regional Hospital
TRH	Tennessee Rural Health
TRH	Taylor Regional Hospital
TRIM	Total Records and Information Management
TRL	Tunable Resurfacing Laser
TRO	To Rule Out ....
TS	Transexual
